faculty_name,mhi,term_domain,term_non_health,term_reason_code,self_parse_status,self_text_quality,sf_health_services_policy,sf_mental_behavioral,sf_epidemiology_biostatistics,sf_aging_gerontology,sf_rehabilitation_disability,sf_substance_tobacco,sf_environmental_occupational,sf_nutrition_diet,sf_health_informatics_data,sf_global_population_health,public_listed,public_cross_appointment,public_group_count,public_name,public_profile_url,public_group_tags,g_researchers,g_cdpm,g_health_policy,g_health_aging,g_health_environment,g_food_water,g_hi,g_global_health,g_neuro_cog_epi,g_healthy_workplaces
MCAINEY | CARRIE,0,health,0,other,ok,0.990,0,1,0,1,0,0,0,0,0,0,1,0,2,Carrie McAiney,https://uwaterloo.ca/public-health-sciences/profiles/carrie-mcainey,Researchers | Health and aging researcher,1,0,0,1,0,0,0,0,0,0
MEYER | SAMANTHA,0,health,0,other,ok,0.997,1,0,0,0,0,0,0,0,0,0,1,0,4,Samantha Meyer,https://uwaterloo.ca/public-health-sciences/profiles/samantha-meyer,Researchers | Chronic disease prevention and management researcher | Food and water safety; security and governance researcher | Health policy and health systems researcher,1,1,1,0,0,1,0,0,0,0
MIELKE | JOHN G.,0,health,0,other,ok,1.000,1,0,0,0,0,0,0,0,0,0,1,0,6,John G. Mielke,https://uwaterloo.ca/public-health-sciences/profiles/john-g-mielke,Researchers | Chronic disease prevention and management researcher | Health and aging researcher | Health and environment researcher | Health neuroscience and cognitive epidemiology researcher | Healthy workplaces researcher,1,1,0,1,1,0,0,0,1,1
MORITA | PLINIO,1,non-health,1,other,ok,0.998,1,0,0,1,1,0,0,0,1,0,1,0,9,Plinio Morita,https://uwaterloo.ca/public-health-sciences/profiles/plinio-morita,Researchers | Chronic disease prevention and management researcher | Food and water safety; security and governance researcher | Global health researcher | Health and aging researcher | Health and environment researcher | Health informatics researcher | Health policy and health systems researcher | Healthy workplaces researcher,1,1,1,1,1,1,1,1,0,1
NEITERMAN | ELENA,0,unknown,,unreadable-text,ok,0.998,0,0,0,0,0,0,0,0,0,0,1,0,1,Elena Neiterman,https://uwaterloo.ca/public-health-sciences/profiles/elena-neiterman,Researchers,1,0,0,0,0,0,0,0,0,0
TAIT NEUFELD | HANNAH,0,unknown,,ambiguous-domain,ok,0.999,0,0,0,0,0,0,0,0,0,0,1,0,4,Hannah Neufeld,https://uwaterloo.ca/public-health-sciences/profiles/hannah-neufeld,Researchers | Food and water safety; security and governance researcher | Global health researcher | Health and environment researcher,1,0,0,0,1,1,0,1,0,0
OGA-OMENKA | CHARITY,0,unknown,,ambiguous-domain,ok,0.811,0,0,0,0,0,0,0,0,0,0,1,0,3,Charity Oga-Omenka,https://uwaterloo.ca/public-health-sciences/profiles/charity-oga-omenka,Researchers | Global health researcher | Health policy and health systems researcher,1,0,1,0,0,0,0,1,0,0
OREMUS | MARK,0,unknown,,ambiguous-domain,ok,1.000,1,0,1,1,0,0,0,0,0,0,1,0,3,Mark Oremus,https://uwaterloo.ca/public-health-sciences/people-profiles/mark-oremus,Researchers | Health and aging researcher | Health neuroscience and cognitive epidemiology researcher,1,0,0,1,0,0,0,0,1,0
PERLMAN | CHRISTOPHER,0,health,0,other,ok,0.992,1,1,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0
SKINNER | KELLY,0,unknown,,ambiguous-domain,ok,1.000,0,0,0,0,0,0,0,0,0,0,1,0,4,Kelly Skinner,https://uwaterloo.ca/public-health-sciences/people-profiles/kelly-skinner,Researchers | Chronic disease prevention and management researcher | Food and water safety; security and governance researcher | Health and environment researcher,1,1,0,0,1,1,0,0,0,0
TORRES ESPIN | ABEL,1,unknown,,unreadable-text,ok,0.810,0,0,0,0,0,0,0,0,0,0,1,0,4,Abel Torres Espin,https://uwaterloo.ca/public-health-sciences/profiles/abel-torres-espin,Researchers | Health informatics researcher | Chronic disease prevention and management researcher | Health neuroscience and cognitive epidemiology researcher,1,1,0,0,0,0,1,0,1,0
TYAS | SUZANNE L,0,health,0,other,ok,0.955,0,1,1,1,0,1,0,0,0,0,1,0,4,Suzanne Tyas,https://uwaterloo.ca/public-health-sciences/profiles/suzanne-tyas,Researchers | Chronic disease prevention and management researcher | Health and aging researcher | Health neuroscience and cognitive epidemiology researcher,1,1,0,1,0,0,0,0,1,0
WALLACE | JAMES R.,1,unknown,,ambiguous-domain,ok,0.987,0,0,0,0,0,0,0,0,0,0,1,0,2,James Wallace,https://uwaterloo.ca/public-health-sciences/profiles/james-wallace,Researchers | Health informatics researcher,1,0,0,0,0,0,1,0,0,0
WILLIAMS | DIANE,0,unknown,,ambiguous-domain,ok,0.997,0,0,0,0,0,0,0,0,0,0,1,0,2,Diane Williams,https://uwaterloo.ca/public-health-sciences/profiles/diane-williams,Researchers | Health neuroscience and cognitive epidemiology researcher,1,0,0,0,0,0,0,0,1,0
YESSIS | JENNIFER L,0,unknown,,no-doctoral-line,ok,0.798,0,0,0,0,0,0,0,0,0,0,1,0,2,Jennifer Yessis,https://uwaterloo.ca/public-health-sciences/profiles/jennifer-yessis,Researchers | Chronic disease prevention and management researcher,1,1,0,0,0,0,0,0,0,0
MCKILLOP | IAN,1,unknown,,no-cv-match,no-cv-match,0.000,,,,,,,,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0
AROCHA | JOSE,1,unknown,,no-cv-match,no-cv-match,0.000,,,,,,,,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0
CORBET | KITTY KING,0,unknown,,no-cv-match,no-cv-match,0.000,,,,,,,,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0
GARCIA | JOHN M,0,unknown,,no-cv-match,no-cv-match,0.000,,,,,,,,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0
HANNING | RHONA,0,unknown,,no-cv-match,no-cv-match,0.000,,,,,,,,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0
HORTON | SUSAN E.,0,unknown,,no-cv-match,no-cv-match,0.000,,,,,,,,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0
